zc,white_pct,black_pct,asian_pct,other_race_pct,two_more_races_pct,latino_pct,unemp_pct,commute_time,service_pct,construction_pct,finance_pct,manuf_pct,income,hi_pct,poverty_pct
6390,93.6,0,0,3.2,3.2,3.2,26.5,7.5,20,34.7,2.7,4,61125,64,0
10001,65,6.3,22.3,3.3,3,15.5,5,27.8,9.1,1.7,19.6,2.6,92840,96.9,10.6
10002,32,8.9,41.9,12,4.2,26.3,6.2,33,25.8,2.1,9.4,3.8,36982,94.5,25.3
10003,75.4,5.6,14.5,2.1,2.2,8.4,4.8,25.7,8.6,0.5,19.7,2.7,118161,96.3,2.9
10004,61,4.3,29.7,1,3.5,3.2,3.5,26.5,2,1,27.2,2.3,190223,95.7,0.4
10005,75.1,1.1,17.7,2.5,3.6,6.3,3.1,24.2,2.4,0.9,25.3,1.8,189702,97.4,0.9
10006,73.5,3.2,16,2.4,4.9,10.8,4.7,28.7,3.4,2.5,30.7,2,179044,97.6,1.6
10007,77.8,8.2,10.5,1.4,2.1,11.7,2,26.2,5.9,1.3,40.6,1.6,224063,99.8,0.5
10009,61.6,8.6,14.2,11.6,3.8,23.8,4,32.8,13.4,1.8,11.6,2.7,63717,95.3,18
10010,69.6,9.4,16.4,1.9,2.7,10.6,3.6,30.1,7.7,2,21.5,2.3,132988,96.4,5.6
10011,80.6,4.4,8.8,2.9,3.2,11.9,3.6,24.3,7.1,0.5,20.8,2.3,138272,97.5,4
10012,73.6,2.7,18.2,2,3.5,7.7,4,24.7,8.7,1.4,19.2,2.8,106467,95.3,5.2
10013,58,3.8,31.4,2.6,3.8,6.7,3.2,26.1,10.9,0.4,26,3.5,113191,95.9,8.5
10014,88.9,1.4,4.8,1,3.9,7,5.1,26.1,5.7,0.9,21.3,2.7,133501,96.8,1.7
10016,71.9,3.8,20.3,1.2,2.5,8.2,3,25,4.8,2.2,25.1,3.4,126628,96.4,3.4
10017,74.2,2,21.3,1,1.5,5.2,2.9,26.4,3.2,1.3,22.9,3.8,131045,95.3,2.1
10018,59.5,5.2,27.9,3.4,3.7,16.1,3.5,27.1,11.9,3.6,22.7,1.7,122484,93.7,4.8
10019,66.8,6,19.1,3.9,3.3,16.3,5.3,26.6,7.8,0.7,23.4,2.8,103792,96.1,5.3
10020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10021,84.5,0.7,8.6,3.1,2.6,6.9,1.8,31,3.6,2,23.9,3.6,122169,95.8,1.8
10022,83.3,1.5,12.1,0.7,2.2,7.7,2.3,26.1,5.6,0.8,24.1,3.4,150718,98.9,1
10023,78.8,4.7,10.5,3.7,2.3,10.9,3.9,30.1,4.9,1,21.9,3.8,132605,97.5,3.9
10024,82.4,4.2,8,2.7,2.5,10.7,2.7,32,7,2,20.1,3.6,143623,96.8,3.4
10025,66.2,11.6,9.7,8.1,4.4,23.6,5.4,34.5,12.1,2.1,10.8,2.6,91624,96,9.5
10026,28,51.2,6.3,9.4,4.8,21.5,6.2,35.8,18.6,2.2,10.1,3,59691,95,19.6
10027,31.9,37.7,9.5,15.3,5,26.3,6,34.1,20,2.1,8.3,2.4,51938,94.4,20.7
10028,85.9,1.5,9.8,1,1.8,6.9,2.8,32,6.5,1.5,21.6,3.7,122969,97.7,1.3
10029,34.9,32.7,9.2,19.1,3.3,46.6,9.7,34.9,25.6,2.5,7.9,2.7,33720,93.5,28.6
10030,16.4,62.2,2.3,13.1,5.7,26.8,10,38.5,29.4,3.4,7.2,2.2,42348,92.6,22.8
10031,31.4,28,4.2,19.6,16.2,51.2,6.6,39.9,28.4,3.8,7.2,2.7,53660,88.8,19.8
10032,29.1,19.1,4.6,36.3,10.1,66.9,7.4,39.8,32.5,4.3,3.8,2.9,53525,86.9,17.4
10033,41.1,10.3,2.3,35.8,9.3,67.1,8.2,42.1,27.8,3.4,10.1,3.6,63093,92,14.2
10034,39.5,13.9,2.9,37.9,5.4,69.2,5.3,43.3,28.5,3,7.1,3.6,54406,91.8,15
10035,20.9,40.2,4.2,30,4.1,45.6,8.9,37,27.3,1.5,7.3,1.8,29799,89.8,29.5
10036,63.5,7.6,18.3,6.6,3.4,21.6,3.8,28.7,10.2,1.9,18.8,4.3,95301,95.6,7
10037,10.2,71.2,2.8,10.6,4.8,21,11.1,38.4,20.3,2.1,9.1,1.6,46263,93.2,23.6
10038,53.1,9.3,29.8,2.6,5,11.7,5.1,27.4,11.6,1.6,22.1,1.6,95702,96,16.1
10039,14.2,62.5,1.6,15.5,5.7,32.5,14.1,41.6,27.4,2.7,8.4,2,42278,92.2,23
10040,36.8,9.9,3,42.5,7,68.7,10.1,41.9,28,2.7,5.9,4.6,49677,92.8,17.8
10044,42.9,12.6,34.3,4.6,5.6,12.9,7.6,36.9,6.9,1,14.3,3,104808,92.5,2.9
10065,84.1,2.3,11.5,0.5,1.5,7.8,2.4,26.6,5,0.9,24.1,2.1,148441,97.6,2.8
10069,63,3.8,29.3,0,3.9,3.8,3.3,31.1,0.5,0,32.7,1.2,132500,98.1,5.3
10075,82.7,3.2,6.1,3.4,3.3,15.6,0.4,29.3,7.9,1.9,25.7,2.3,138640,97.7,1.1
10103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10128,79.3,3.6,9.9,3.2,4.1,12.9,3.4,33.4,5.3,1.7,19.8,2.6,121829,97.3,3.5
10152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
